site prefix,Number of Turbines at Site,UTC Offset,Turbine Backup,Met Backup Cutoff (inclusive),Latitude,Longtitude,Number of Met Towers,Met WdSpd Tag,Met Temp Tag,Season Start,Season End
TEST,500,-4,,,,,,,,07/15,10/15
DESER,104,-4,"T049,T056,T044,T098,T092",T052,36.318975,-76.424997,2,Met.Alt1.VelHoriz,Met.Alt2.Temp,07/15,10/15
HOOSA,19,-4,"T012,T013,T014,T010,T009",T006,42.724338,-73.031484,2,Met.Alt1.VelHoriz,Met.Alt1.Temp,07/15,10/15
DEERF,15,-4,"T003,T004,T008,T009,T010",T007,-74.889704,43.134555,2,Met.Alt1.WindSpd,Met.Tmp,06/01,09/30
PROVH,36,-5,"T001,T005,T013,T019,T024",T018,41.240381,-89.583008,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,05/15,10/15
SCHES,23,-4,"T021, T010, T008, T001, T005",T023,39.750898,-79.729725,1,Met.Alt1.VelHoriz,Met.Alt2.TempMedia,07/15,09/30
MANZA,126,-7,"T001,T002,T003,T009,T010",T061,34.922584,-118.176326,1,Met.Alt1.VelHoriz,Met.Alt3.TempMedia,07/15,10/15
BIGH2,25,-7,"T001,T003,T005,T007,T009",T014,45.902913,-120.296194,1,Met.Alt1.VelHoriz,Met.Alt2.TempMedia,07/15,10/15
KARA1,41,-5,"T032,T033,T034,T035,T041",T041,27.987,-97.78,1,Met.Alt1.VelHoriz,Met.Alt4.Temp,07/15,10/15
KARA2,41,-5,"T004,T005,T006,T009,T011",T041,27.987,-97.78,1,Met.Alt1.VelHoriz,Met.Alt4.Temp,07/15,10/15
KARA3,42,-5,"T001,T002,T003,T004,T005",T042,27.987,-97.78,1,T028.WNAC.WdSpd,T028.WNAC.ExTmp,07/15,10/15
COYOT,39,-5,"T001,T002,T003,T004,T005",T039,44.239,-96.74,1,Met.Alt1.VelHoriz,Met.Alt4.Temp,07/15,10/15
ELMCR,66,-5,"T012,T026,T037,T031,T051",T066,43.8325,-94.931247,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
TRIMO,67,-5,"T030, T014, T020, T016,T052",T067,43.796382,-94.852014,1,T014.WNAC.WdSpd,T014.WNAC.ExTmp,04/01,10/31
FLYCO,29,-5,"T016,T013,T008,T018,T019",T029,43.38484,-95.299681,1,Met.Alt1.VelHoriz,Met.Temp,07/15,10/15
MORA1,34,-5,"T006, T014, T003,T029,T028",T034,44.0644773,-96.054815,1,Met.Alt1.VelHoriz,Met.Temp,07/15,10/15
MORA2,33,-5,"T013,T025,T012,T026,T030",T033,44.113421,-96.0804697,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
LEMPS,12,-4,"T012,T010,T005,T004,T003",T012,43.234614,-72.144103,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
SCRAB,37,-4,"T012,T024,T026,T030,T033",T014,43.134555,-74.889704,2,Met.Alt1.VelHoriz,Met.Alt2.TempMedia,07/15,10/15
BLUEC,152,-4,"T013,T015,T034,T122,T135",T076,40.970884,-84.606017,2,Met.Alt1.VelHoriz,Met.Alt2.TempMedia,07/15,10/15
RUGBY,71,-5,"T035,T012,T036,T042,T048",T071,48.50565,-99.949729,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
ELMC2,62,-5,"T032,T011,T034,T052,T010",T062,43.762561,-94.91859,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
CRIDG,150,-5,"T100,T104,T033,T132,T150",T075,40.976112,-88.434117,2,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
ELKRI,100,-5,"T063,T047,T036,T084,T020",T100,37.57857,-96.552631,1,T063.WNAC.WdSpd,T063.WNAC.ExTmp,07/15,10/15
NEWHA,50,-5,"T007,T011,T013,T016,T035",T050,42.168975,-95.446113,1,Met.Alt1.VelHoriz,Met.Alt2.TempMedia,07/15,10/15
CASSE,23,-4,"T006,T013,T021,T020,T019",T023,39.862222,-79.126217,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
FARME,73,-5,"T067,T047,T020,T056,T073",T037,40.557416,-95.456723,2,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
LRID1,13,-4,"T006,T007,T008,T009,T010",T013,40.8551124,-76.1292711,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
LRID2,51,-4,"T028,T025,T017,T001,T004",T051,40.8277608,-76.2531637,1,Met.Alt1.VelHoriz,Met.Alt3.Temp,07/15,10/15
GROTO,24,-4,"T018,T019,T009,T010,T002",T024,43.7586000,-71.8119920,1,Met.Alt1.VelHoriz,Met.Alt1.Temp,07/15,10/15
